医療機関名,正規化住所,郵便番号,電話番号,オンライン予約用ページアドレス,相談センター等からの紹介,自院患者,濃厚接触者,小児,妊婦,区市町村,行政コード,大字,それ以降の住所,ビル名・階数・部屋番号,PCR,抗原定量,抗原定性,鼻咽頭,鼻腔,唾液,その他,月（午前）,月（午後）,火（午前）,火（午後）,水（午前）,水（午後）,木（午前）,木（午後）,金（午前）,金（午後）,土（午前）,土（午後）,日（午前）,日（午後）,対応できる外国語,診療検査日時が祝日の場合,それ以降の住所,,
医療法人社団向日葵会 まつしま病院,,132-0031,03-3653-5541,,,1,1,1,2,江戸川区,13123,松島,1-41-29,,1,,1,,1,1,,9:00~10:45,15:30~16:30,9:00~10:45,15:30~16:30,9:00~10:45,15:30~16:30,9:00~10:45,15:30~16:30,9:00~10:45,15:30~16:30,9:00~10:45,,,,英語,,松島1-41-29,35.70687,139.86736
医療法人社団うちはら内科クリニック,,181-0012,0422-40-6180,,1,1,1,1,1,三鷹市,13204,上連雀,７-１１-７石井ビル1階,,1,,1,1,1,1,,12:00~13:00,17:00~18:00,12:00~13:00,17:00~18:00,12:00~13:00,17:00~18:00,,,12:00~13:00,17:00~18:00,12:00~13:00,,,,,,上連雀７-１１-７石井ビル1階,35.6894,139.55315
寺田医院,,191-0034,042-591-2852,,,1,,1,,日野市,13212,落川,11-Nov,,,,,,,,,,,,,,,,,,,,,,,,,落川2011-11,35.65837,139.42982
社会福祉法人新栄会 滝野川病院,,114-0023,03-3910-6336,,1,1,,,,北区,13117,滝野川,2-32-12,,1,,1,1,1,,,,13:30~15:30,,13:30~15:30,,13:30~15:30,,13:30~15:30,,13:30~15:30,,,,,英語、韓国語、中国語（担当者不在の場合あり）,,滝野川2-32-12,35.75038,139.73126
グローバルヘルスケアクリニック,,102-0083,03-3222-8832,,1,1,1,1,1,千代田区,13101,麹町,2003/12/2,麹町MSビル1階,1,,1,1,1,1,,10:00~13:00,14:30~19:00,10:00~13:00,14:30~19:00,10:00~13:00,14:30~19:00,10:00~13:00,14:30~19:00,10:00~13:00,14:30~19:00,10:00~13:00,,,,英語・他言語は多言語電話通訳により対応可能,,麹町3-12-2 麹町MSビル1階,35.68364,139.73669
医療法人社団 健稜会 みなみ野シティクリニック,,192-0916,042-632-5500,,1,1,1,,,八王子市,13201,みなみ野,５-１５-１ ,１F,1,,1,1,1,1,,9:00~12:00,14:00~17:00,9:00~12:00,14:00~17:00,9:00~12:00,,9:00~12:00,14:00~17:00,9:00~12:00,14:00~17:00,,,,,,,みなみ野５-１５-１ １F,35.62901,139.32083
スワンレディースクリニック,,114-0002,03-5944-6028,,,1,,,,北区,13117,王子,4-27-7,,,,,,,,,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,日本,,王子4-27-7,35.76271,139.73778
医療法人社団 久光会 久光クリニック,,121-0073,03-5831-0502,,1,1,,,,足立区,13121,六町,2002/6/24,,1,,1,,1,1,,11:00~12:00,16:00~17:00,11:00~12:00,16:00~17:00,11:00~12:00,16:00~17:00,11:00~12:00,16:00~17:00,11:00~12:00,16:00~17:00,11:00~12:00,16:00~17:00,,,,,六町2-6-24,35.78566,139.82297
溝口医院,,164-0013,03-3372-0035,,1,1,1,1,1,中野区,13114,弥生町,2002/12/9,,,,,,,,,,15:00~17:00,,15:00~17:00,,,,15:00~17:00,,15:00~17:00,,,,,,,弥生町２-１２-９,35.6862,139.66118
綾瀬循環器病院,,120-0006,03-3605-2811,,1,1,1,,,足立区,13121,谷中,2-16-7,,1,,1,1,,,,0:00~12:00,12:00~24:00,0:00~12:00,12:00~24:00,0:00~12:00,12:00~24:00,0:00~12:00,12:00~24:00,0:00~12:00,12:00~24:00,0:00~12:00,12:00~24:00,0:00~12:00,12:00~24:00,,,谷中2-16-7,35.77468,139.83313
東大泉メディカルクリニック,,178-0063,03-3922-3421,,1,1,1,,,練馬区,13120,東大泉,2丁目11-31,,1,,,,,1,,11:00~12:00,17:00~19:00,11:00~12:00,17:00~19:00,,,11:00~12:00,17:00~19:00,11:00~12:00,17:00~19:00,12:00~14:00,,,,,,東大泉2丁目11-31,35.75139,139.59486
医療法人社団のと小児科クリニック氷川台のと小児科クリニック,,179-0084,03-5946-9950,,1,1,,2,2,練馬区,13120,氷川台,3-40-6 ,1階、3階,1,,,1,1,1,,9:00~12:00,14:00~19:00,9:00~12:00,14:00~19:00,9:00~12:00,12:00~13:00,9:00~12:00,14:00~19:00,9:00~12:00,14:00~19:00,9:00~12:00,12:00~14:00,,,,,氷川台3-40-6 1階、3階,35.74974,139.66469
医療法人社団三暉会たむらクリニック,,167-0023,03-5303-5701,,1,1,1,1,1,杉並区,13115,上井草,3丁目31-15,,1,,1,1,1,1,,9:00~12:00,15:00~18:30,9:00~12:00,15:00~18:30,9:00~12:00,15:00~18:30,9:00~12:00,,9:00~12:00,15:00~18:30,9:00~12:00,15:00~17:00,,,,,上井草3丁目31-15,35.72441,139.60365
依田医院,,142-0041,03-3781-2865,,,1,,,,品川区,13109,戸越,6-7-26-201,,1,,,,,1,,,12:00~14:00,,12:00~14:00,,,,12:00~14:00,,12:00~14:00,,12:00~14:00,,,,,戸越6-7-26-201,35.60786,139.71819
笑顔のこどもクリニック阿佐ヶ谷,,166-0004,03-3313-3811,,1,1,,2,,杉並区,13115,阿佐谷南,2001/9/3,HEALTH 4F,1,,1,1,1,,,9:00~10:00,,9:00~10:00,17:00~18:00,,,9:00~10:00,17:00~18:00,9:00~10:00,,9:00~10:00,,,,,,阿佐谷南1-9-3 HEALTH 4F,35.70341,139.64149
林胃腸科外科クリニック,,170-0013,03-3988-5700,,1,1,1,,,豊島区,13116,東池袋,2003/1/1,,1,,,1,1,1,,9:00~13:00,14:00~18:00,9:00~13:00,14:00~18:00,9:00~13:00,14:00~18:00,,,9:00~13:00,14:00~18:00,9:00~13:00,,,,,,東池袋3-1-1,35.72593,139.72307
医療法人社団 千秋会 ちあきこどもクリニック,,187-0034,042-349-2012,,,1,,1,,小平市,13211,栄町,２丁目３-７,,,,,,,,,9:00~10:00,17:00~18:00,9:00~10:00,17:00~18:00,9:00~10:00,17:00~18:00,,,9:00~10:00,17:00~18:00,9:00~10:00,12:00~13:00,,,,,栄町２丁目３-７,35.73391,139.44582
医療法人社団翌檜会ひがき医院,,188-0014,042-462-5521,,1,1,1,1,1,西東京市,13229,芝久保町,2001/11/10,,1,,1,1,1,1,,11:30~12:30,17:30~18:30,11:30~12:30,17:30~18:30,11:30~12:30,17:30~18:30,,,11:30~12:30,17:30~18:30,11:30~12:30,,,,,,芝久保町1-11-10,35.72419,139.526
医療法人社団 沢医会 沢井診療所,,198-0172,0428-78-8432,,,1,,,,青梅市,13205,沢井,2-850-3,,1,,,,,1,,12:00~13:00,15:00~16:00,12:00~13:00,15:00~16:00,,,12:00~13:00,15:00~16:00,,,,,,,日本,,沢井2-850-3,35.80586,139.19336
動坂下泌尿器科クリニック,,113-0022,03-5834-7735,,,1,,,,文京区,13105,千駄木,4-13-6-108,,1,,,,,1,,,13:00~14:00,,13:00~14:00,,,,13:00~14:00,,13:00~14:00,,13:00~14:00,,,,,千駄木4-13-6-108,35.73235,139.75873
医療法人社団健診会 滝野川メディカルクリニック,,114-0023,03-3910-3441,,,1,,,,北区,13117,滝野川,3-39-7,,1,,,,,1,,,12:00~13:00,,12:00~13:00,,12:00~13:00,,12:00~13:00,,12:00~13:00,,,,,,,滝野川3-39-7,35.74805,139.7287
中島医院,,168-0081,03-5941-5155,,1,1,1,1,1,杉並区,13115,宮前,2-23-11,,1,,,1,1,1,,11:30~12:00,16:00~17:00,,16:00~17:00,11:30~12:00,16:00~17:00,,,,16:00~17:00,11:00~11:30,,,,,,宮前2-23-11,35.69402,139.61461
医療法人社団仁医会 東中野クリニック,,164-0003,03-3361-2732,,,1,,,,中野区,13114,東中野,１-５８-１２,,,,,,,,,,15:00~17:00,,15:00~17:00,,15:00~17:00,,15:00~17:00,,15:00~17:00,,,,,,,東中野１-５８-１２,35.70562,139.68364
医療法人社団いつくし会 吉田まゆみ内科,,135-0045,03-5646-8080,,,1,,,,江東区,13108,古石場,2-14-1 ,ウエルタワー深川204,1,,,,,1,,12:00~13:00,18:00~19:00,12:00~13:00,18:00~19:00,12:00~13:00,18:00~19:00,,,12:00~13:00,18:00~19:00,12:00~13:00,,,,,,古石場2-14-1 ウエルタワー深川204,35.66687,139.8
大手町フィナンシャルシティ西山クリニック,,100-0004,03-3270-2986,,,1,,,,千代田区,13101,大手町,2001/9/4,大手町フィナンシャルシティ ノースタワー４F,,,,,,,,,,11:00~13:00,,,,11:00~13:00,,,,,,,,,,大手町1-9-4 大手町フィナンシャルシティ ノースタワー４F,35.6863,139.76808
医療法人社団玲世会いろは診療所,,197-0003,042-513-4821,,,1,,,,福生市,13218,熊川,1403-1-1階,,,,,,,,,9:00~12:00,1:00~5:00,9:00~12:00,1:00~5:00,9:00~12:00,1:00~5:00,9:00~12:00,1:00~5:00,9:00~12:00,1:00~5:00,,,,,,,熊川1403-1-1階,35.72251,139.34297
医療法人社団 季邦会 びやじま内科医院・大島駅前,,136-0072,03-5628-0571,,1,1,1,,,江東区,13108,大島,5-36-7-2F,,1,,,,,1,,9:00~13:00,14:00~18:00,9:00~13:00,14:00~18:00,9:00~13:00,14:00~18:00,,,9:00~13:00,14:00~18:00,9:00~13:00,,9:00~13:00,,英語,,大島5-36-7-2F,35.68883,139.83629
医療法人社団ひばり会あおば医院,,153-0043,03-3711-7785,,1,1,1,1,1,目黒区,13110,東山,1-1-2東山ビル２階,,1,,1,1,1,1,,9:00~12:30,14:00~17:30,9:00~12:30,14:00~17:30,,,9:00~12:30,14:00~17:30,9:00~12:30,14:00~17:30,9:00~12:30,14:00~15:30,,,,,東山1-1-2東山ビル２階,35.64837,139.69257
恵和クリニック,,156-0044,03-5301-2541,,1,1,1,,,世田谷区,13112,赤堤,1-37-7,,1,,,,1,,,9:30~13:00,15:00~17:30,9:30~13:00,15:00~17:30,9:30~13:00,15:00~17:30,9:30~13:00,,9:30~13:00,15:00~17:30,9:30~13:00,,,,"日本語以外不可日本語の話せない方は、通訳同伴でなければ、不可",,赤堤1-37-7,35.65516,139.63844
医療法人社団 三世会 ねぎしクリニック,,176-0012,03-3991-0328,,,1,,,,練馬区,13120,豊玉北,４ー１９ー６,,,,,,,,,11:00~12:00,17:00~18:00,11:00~12:00,17:00~18:00,,,,17:00~18:00,11:00~12:00,17:00~18:00,11:00~12:00,,,,,,豊玉北４ー１９ー６,35.73421,139.65846
休日夜間急患診療所,,182-0026,042-484-1455,,,1,,,,調布市,13208,小島町,3-68-10,,,,,,,,,,,,,,,,,,,,19:00~22:00,,19:00~22:00,,,小島町3-68-10,35.64907,139.54135
多摩クリニック,,206-0024,042-375-7753,,1,1,1,1,1,多摩市,13224,諏訪,2005/10/1,,1,,,,1,1,,9:00~11:00,15:00~16:30,9:00~11:00,15:00~16:30,9:00~11:00,,,,9:00~11:00,14:30~15:00,9:00~11:00,,,,英語,,諏訪５-１０-１,35.62639,139.45399
医療法人社団 恵容会 南大沢クリニック,,192-0364,042-674-7766,,,1,,,,八王子市,13201,南大沢,5-14-4-1,,1,,1,,,1,,12:00~12:30,17:30~19:00,12:00~12:30,17:30~19:00,12:00~12:30,17:30~19:00,,,12:00~12:30,17:30~19:00,12:00~13:30,15:00~15:30,,,英語,,南大沢5-14-4-1,35.61243,139.36922
医療法人社団桐司会 おがはら循環器・内科,,134-0088,03-3680-2525,,1,1,1,,1,江戸川区,13123,西葛西,3-15-5 ,第10山秀ビル 1階,1,,,,,1,,9:00~12:00,3:00~6:00,9:00~12:00,3:00~6:00,9:00~12:00,3:00~6:00,,,9:00~12:00,3:00~6:00,9:00~12:00,3:00~6:00,,,,,西葛西3-15-5 第10山秀ビル 1階,35.66505,139.85829
マチノマ大森内科クリニック,,143-0015,web予約,https://www.gdu.jp/043144/pc/index.php,1,1,1,1,1,大田区,13111,大森西,3-1-38 ,マチノマ大森３階,1,,1,1,1,1,,,12:00~17:00,,12:00~17:00,,12:00~17:00,,12:00~17:00,,12:00~17:00,,12:00~19:00,,12:00~19:00,,,大森西3-1-38 マチノマ大森３階,35.57465,139.72681
野木村医院,,135-0004,03-3634-6626,,1,1,1,1,1,江東区,13108,森下,2004/9/12,,,,1,1,1,,,9:00~12:30,15:00~18:30,9:00~12:30,15:00~18:30,9:00~12:30,,9:00~12:30,15:00~18:30,9:00~12:30,15:00~18:30,9:00~12:30,,,,,,森下４-９-１２,35.68566,139.80792
医療法人社団おくむら医院,,136-0076,03-5653-2228,,1,1,1,1,1,江東区,13108,南砂,２-６-３サンライズ東陽２階,,1,,1,1,1,1,,12:00~14:00,18:00~19:00,12:00~14:00,18:00~19:00,12:00~14:00,18:00~19:00,12:00~15:00,,12:00~14:00,18:00~19:00,12:00~15:00,,,,,,南砂２-６-３サンライズ東陽２階,35.67251,139.81987
AIBIクリニック,,141-0031,03-5948-5882,,,1,,,,品川区,13109,西五反田,1-24-4-203,,,,1,1,1,,,9:00~10:00,3:00~5:00,9:00~10:00,3:00~5:00,9:00~10:00,3:00~5:00,,,9:00~10:00,3:00~5:00,9:00~10:00,,,,なし,,西五反田1-24-4-203,35.62361,139.7222
江戸川橋さくらクリニック,,112-0014,03-5227-3433,,1,1,,1,1,文京区,13105,関口,2001/1/6,,1,,1,1,1,1,,12:00~13:00,15:00~16:00,12:00~13:00,15:00~16:00,,,12:00~13:00,15:00~16:00,12:00~13:00,15:00~16:00,11:30~12:30,,,,,,関口1-1-6,35.71367,139.72765
医療法人社団上石神井サン・クリニック,,177-0044,03-5910-3888,,1,1,,,,練馬区,13120,上石神井,3-6-34,,1,,1,1,1,1,,,14:00~16:00,,14:00~16:00,,14:00~16:00,,14:00~16:00,11:00~12:00,16:00~17:00,10:00~12:00,,,,無し,,上石神井3-6-34,35.73426,139.59958
新宿南リウマチ膠原病クリニック,,151-0053,03-3370-5100,,,1,,,,渋谷区,13113,代々木,2002/10/8,ケイアイ新宿ビル８階,1,,1,,,1,,12:00~13:00,18:00~19:00,12:00~13:00,18:00~19:00,12:00~13:00,18:00~19:00,12:00~13:00,18:00~19:00,12:00~13:00,18:00~19:00,12:00~13:00,,,,,,代々木２-１０-８ ケイアイ新宿ビル８階,35.67374,139.68965
あじろ小児科,,125-0051,03-3607-5171,,,1,1,2,,葛飾区,13122,新宿,2002/11/15,,1,,1,,1,1,,11:00~12:00,16:00~17:00,,,11:00~12:00,16:00~17:00,11:00~12:00,16:00~17:00,11:00~12:00,16:00~17:00,,,11:30~12:30,16:00~16:30,,,新宿2-11-15,35.75972,139.86397
河口クリニック,,153-0064,03-3716-0706,,1,1,1,,,目黒区,13110,下目黒,３丁目4-2,,1,,1,1,,1,,12:30~13:00,17:30~18:00,,17:30~18:00,,,12:30~13:00,17:30~18:00,,17:30~18:00,,,,,,,下目黒３丁目4-2,35.63039,139.70883
世田谷リウマチ膠原病クリニック,,156-0052,03-6413-4666,,,1,,,,世田谷区,13112,経堂,2-4-6-102,,1,,1,,,1,,,,12:00~13:00,17:00~18:00,12:00~13:00,17:00~18:00,12:00~13:00,17:00~18:00,12:00~13:00,17:00~18:00,12:00~13:00,17:00~18:00,,,,,経堂2-4-6-102,35.65231,139.63582
きはらクリニック,,164-0001,03-3381-6611,,,1,,,,中野区,13114,中野,2-25-3 ,ヤマノ中野駅前ビル3F,,,1,,1,,,12:00~13:00,18:00~19:00,12:00~13:00,18:00~19:00,12:00~13:00,18:00~19:00,,,12:00~13:00,18:00~19:00,12:00~13:00,,,,なし,,中野2-25-3 ヤマノ中野駅前ビル3F,35.70533,139.66609
今関医院,,166-0015,03-3311-2169,,,1,,,,杉並区,13115,成田東,2-31-10,,1,,,,,1,,,1:00~4:00,,1:00~4:00,,1:00~4:00,,,,1:00~4:00,11:00~12:00,,,,,,成田東2-31-10,35.69119,139.63568
医療法人社団 南七星会 西小山脳神経外科・整形外科,,142-0062,03-3783-0777,,1,1,,,,品川区,13109,小山,6-4-14メディケア西小山2F,,,,1,,1,,,,14:00~17:00,,14:00~17:00,10:00~12:00,,,14:00~17:00,10:00~12:00,,,,,,英語,1,小山6-4-14メディケア西小山2F,35.6152,139.69926
医療法人社団FOREST もり脳神経外科クリニック,,142-0053,03-3788-1777,,,1,,,,品川区,13109,中延,2005/2/2,ザ・パークハウス品川荏原町201,,,,,,,,,13:00~14:00,,13:00~14:00,,13:00~14:00,,13:00~14:00,,13:00~14:00,,,,,,,中延5-2-2 ザ・パークハウス品川荏原町201,35.60235,139.71144
松本医院,,180-0002,0422-22-5755,,,1,,,,武蔵野市,13203,吉祥寺東町,1-23-3,,,,,,,,,11:00~12:00,7:00~8:00,,,11:00~12:00,7:00~8:00,11:00~12:00,,,,11:00~12:00,,,,,,吉祥寺東町1-23-3,35.70857,139.58812
クリニック桜丘,,150-0031,03-3496-6789,,1,1,1,1,1,渋谷区,13113,桜丘町,6月14日,黒松ビル1階,1,,1,1,,1,,12:00~13:00,17:00~18:00,12:00~13:00,17:00~18:00,12:00~13:00,17:00~18:00,12:00~13:00,17:00~18:00,12:00~13:00,17:00~18:00,12:00~13:00,,,,,,桜丘町14-6 黒松ビル1階,35.65433,139.70309
いりえ内科クリニック,,181-0003,03-5314-3577,,1,1,1,1,1,三鷹市,13204,北野,2004/5/30,,1,,1,1,,1,,11:00~12:00,5:00~6:00,11:00~12:00,17:00~18:00,,,11:00~12:00,17:00~18:00,11:00~12:00,17:00~18:00,11:00~12:00,,,,,,北野4-5-30,35.67327,139.58023
医療法人社団洞樫会自由が丘南口クリニック,,158-0083,03-5707-1031,,,1,,,,世田谷区,13112,奥沢,6-21-11,,1,,1,1,1,1,,,3:00~4:00,,3:00~4:00,,3:00~4:00,,3:00~4:00,,,,,,,,,奥沢6-21-11,35.60479,139.66505
山手醫院,,174-0041,03-5918-7997,,,1,,,,板橋区,13119,舟渡,2003/12/13,,,,1,,1,,,11:00~13:00,,11:00~13:00,,11:00~13:00,,,,11:00~13:00,,11:00~13:00,,,,,,舟渡3-12-13,35.79022,139.6886
趙メディカルクリニック,,143-0012,03-3765-6688,,1,1,,,,大田区,13111,大森東,２-25-11,,1,,1,1,1,1,,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,,,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,9:00~12:00,,,,韓国語 ,,大森東２-25-11,35.57175,139.73616
天木診療所,,174-0053,03-3961-3913,,1,1,1,1,1,板橋区,13119,清水町,Jul-47,,1,,1,1,1,,,9:00~12:00,17:00~19:00,9:00~12:00,17:00~19:00,9:00~12:00,17:00~19:00,,,9:00~12:00,17:00~19:00,9:00~12:00,,,,,,清水町４７-７,35.76485,139.70685
クリニックプラス下北沢,,155-0031,web予約,https://clinicplus.health/reserve,1,1,1,1,1,世田谷区,13112,北沢,"２-２４-５SHIMOKITA　",FRONT　２F,1,1,,1,1,1,,9:00~13:30,15:00~20:00,9:00~13:30,15:00~20:00,9:00~13:30,15:00~20:00,9:00~13:30,15:00~20:00,9:00~13:30,15:00~20:00,9:00~12:30,14:00~17:30,9:00~12:30,14:00~17:30,,,"北沢２-２４-５SHIMOKITA　FRONT　２F",35.66188,139.66766
医療法人社団 喜幸会 かわぐちクリニック,,189-0014,042-397-3741,,,1,,,,東村山市,13213,本町,2002/3/2,エミネンス東村山１階,,,,,,,,,1:00~3:00,,1:00~3:00,,1:00~3:00,,,,1:00~3:00,,,,,不可,,本町２-３-２ エミネンス東村山１階,35.75369,139.47212
東久留米駅前クリニック,,203-0053,042-471-5051,,,1,,,,東久留米市,13222,本町,2001/3/6,,1,,,,,1,,9:00~12:00,14:00~16:00,9:00~12:00,14:00~16:00,9:00~12:00,14:00~16:00,9:00~12:00,14:00~16:00,9:00~12:00,14:00~16:00,9:00~12:00,,,,,,本町1-3-6,35.75937,139.52934
医療法人社団欅会 小平北口クリニック,,187-0001,042-347-0211,,,1,,,,小平市,13211,大沼町二丁目,２番１１号,,1,,,,,1,,,,,13:00~16:00,,,,13:00~16:00,,13:00~16:00,,,,,,,大沼町二丁目２番１１号,35.73965,139.49269
東京都立松沢病院,,156-0057,03-3303-7211,,,1,,,,世田谷区,13112,上北沢,2002/1/1,,1,,1,1,,1,,10:00~12:00,,10:00~12:00,,10:00~12:00,,10:00~12:00,,10:00~12:00,,,,,,,,上北沢２-１-１,35.66973,139.6209
医療法人社団博樹会　西クリニック,,111-0053,03-3851-5959,,,1,,,,台東区,13106,浅草橋五丁目,５番１０号,,1,,1,,1,1,,10:00~12:00,13:00~15:00,10:00~12:00,13:00~15:00,10:00~12:00,13:00~15:00,10:00~12:00,13:00~15:00,10:00~12:00,13:00~15:00,,,,,なし,,浅草橋五丁目５番１０号,35.69984,139.78093
医療法人社団 而今会 蓮村整形外科内科,,196-0014,042-545-4312,,,1,,,,昭島市,13207,田中町,2-24-26,,1,,1,,1,1,,,,9:00~12:00,,,,9:00~12:00,,,,,,,,,,田中町2-24-26,35.70412,139.35304
さくらがおか耳鼻咽喉科クリニック,,156-0054,03-5799-3387,,,1,,,,世田谷区,13112,桜丘,2-24-3 ,AOビル1F,,,,,,,,,14:00~16:00,,,,,,,,14:00~16:00,,,,,,,桜丘2-24-3 AOビル1F,35.64589,139.62283
医療法人社団頌和会村田医院,,154-0021,03-3425-2612,,1,1,1,1,1,世田谷区,13112,豪徳寺,2-16-25,,1,,1,1,1,,,11:00~12:00,17:00~18:00,11:00~12:00,17:00~18:00,11:00~12:00,17:00~18:00,,,11:00~12:00,17:00~18:00,11:00~12:00,16:00~17:00,,,,,豪徳寺2-16-25,35.64624,139.64622
医療法人社団文誠会 安藤外科内科クリニック,,192-0054,042-622-4561,,,1,,,,八王子市,13201,小門町,18,,,,1,1,1,,,12:00~13:00,18:00~19:00,12:00~13:00,18:00~19:00,,,12:00~13:00,18:00~19:00,,,12:00~14:00,,,,なし,,小門町18,35.65952,139.32607
医療法人社団千秋双葉会耳鼻咽喉科セントラルパーク中野,,164-0001,03-5318-4187,,1,1,,,,中野区,13114,中野,4-10-1中野セントラルパークイースト1F,,1,,1,,1,1,,12:00~13:00,13:00~16:00,12:00~13:00,13:00~16:00,,,12:00~13:00,13:00~16:00,12:00~13:00,13:00~16:00,12:00~13:00,13:00~16:00,,,中国語(平日AM・金曜終日),,中野4-10-1中野セントラルパークイースト1F,35.70734,139.66196
医療法人社団春裕会はるえ子どもクリニック,,132-0003,03-6638-8939,,1,1,1,1,,江戸川区,13123,春江町,2-33-15-1F,,1,,1,1,,1,,8:30~9:30,18:00~19:00,8:30~9:30,18:00~19:00,,,8:30~9:30,18:00~19:00,8:30~9:30,18:00~19:00,,12:30~14:30,,,,,春江町2-33-15-1F,35.69929,139.89006
医療法人社団杏順会 越川病院,,167-0023,03-3394-1010,,,1,,,,杉並区,13115,上井草,2004/4/5,,1,,,1,1,1,,,12:00~14:00,,12:00~14:00,,12:00~14:00,,12:00~14:00,,12:00~14:00,11:00~12:00,,,,なし,,上井草４-４-５,35.72016,139.59709
等々力診療所,,158-0082,03-3704-0191,,,1,,,,世田谷区,13112,等々力,2006/1/17,,,,,,,,,9:00~12:00,13:00~18:00,9:00~12:00,,9:00~12:00,13:00~18:00,9:00~12:00,13:00~18:00,9:00~12:00,,9:00~12:00,,,,,,等々力6-1-17,35.60656,139.64938
おかだスマイルクリニック,,105-0013,03-6809-1725,,1,1,1,1,1,港区,13103,浜松町,2-3-1日本生命浜松町クレアタワー4F,,1,,1,1,1,1,,9:30~12:00,12:00~19:00,9:30~12:00,12:00~19:00,9:30~12:00,12:00~19:00,9:30~12:00,12:00~19:00,9:30~12:00,12:00~19:00,9:30~12:00,12:00~13:00,,,,,浜松町2-3-1日本生命浜松町クレアタワー4F,35.65564,139.75557
九段下駅前まめクリニック,,102-0073,web予約,https://reza.3bees.com/p/8bdd/online_reservations,1,1,1,,,千代田区,13101,九段北,1-3-2大橋ビル3階,,1,,,,,1,,10:00~13:00,18:00~22:00,10:00~13:00,18:00~22:00,10:00~13:00,18:00~22:00,10:00~13:00,18:00~22:00,10:00~13:00,18:00~22:00,,13:00~18:00,10:00~12:00,13:00~18:00,,,九段北1-3-2大橋ビル3階,35.6962,139.75143
医療法人社団ほくとクリニック,,115-0045,03-3901-4926,,,1,1,1,,北区,13117,赤羽,2002/9/6,カーサフィオーレ101,1,,1,1,,,,11:30~12:30,6:00~7:00,11:30~12:30,6:00~7:00,11:30~12:30,6:00~7:00,11:30~12:30,6:00~7:00,11:30~12:30,6:00~7:00,11:00~12:00,,,,,,赤羽2-9-6 カーサフィオーレ101,35.77987,139.72449
医療法人社団 孝敬会 朱クリニック,,125-0061,03-5613-2588,,1,1,1,,,葛飾区,13122,亀有,５-２６-１ ,サンストン亀有１F,1,,1,1,,1,,9:00~13:00,15:00~18:00,9:00~13:00,,9:00~13:00,15:00~18:00,,,9:00~13:00,15:00~18:00,9:00~13:00,14:00~17:00,,,,,亀有５-２６-１ サンストン亀有１F,35.76876,139.84641
ねぎし耳鼻咽喉科,,194-0038,81427898733,,,1,,1,1,町田市,13209,根岸,2-13-1,,,,1,1,,,,9:00~12:00,15:00~18:00,9:00~12:00,15:00~15:00,9:00~12:00,15:00~15:00,,,9:00~12:00,15:00~15:00,9:00~12:00,,,,無し,,根岸2-13-1,35.57541,139.41238
柴内科医院,,170-0013,03-3971-4418,,,1,,,,豊島区,13116,東池袋,１-１５-３ ,近代ビル１２-３階,,,,,,,,10:00~12:00,12:00~18:00,10:00~12:00,12:00~13:00,,14:00~18:00,10:00~12:00,12:00~13:00,10:00~12:00,12:00~18:00,10:00~12:00,12:00~13:00,,,なし,,東池袋１-１５-３ 近代ビル１２-３階,35.73104,139.71503
伊藤メディカルクリニック,,124-0006,03-3602-4205,,,1,,,,葛飾区,13122,堀切,4-57-5,,,,,,,,,10:00~11:00,17:00~18:00,10:00~11:00,17:00~18:00,10:00~11:00,17:00~18:00,10:00~11:00,17:00~18:00,10:00~11:00,17:00~18:00,10:00~11:00,,,,,,堀切4-57-5,35.74873,139.82681
医療法人社団大順会 豊島園大腸肛門科,,179-0074,03-3998-3666,,,1,,,,練馬区,13120,春日町,2004/6/14,,1,,1,1,,1,,,1:00~4:00,,,,1:00~4:00,,,,,,,,,,,春日町４-６-１４,35.74872,139.64621
マサキ小児科アレルギー科,,178-0063,03-3923-1515,,,1,,,,練馬区,13120,東大泉,2002/5/10,,,,,,,,,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,,,9:00~12:00,15:00~18:00,9:00~13:00,,,,,,東大泉２-５-１０,35.75305,139.58405
医療法人財団朔望会 常盤台外科病院,,174-0071,03-3960-7211,,1,1,,,,板橋区,13119,常盤台,2-25-20,,1,,1,1,,,,9:00~13:00,14:00~17:00,9:00~13:00,14:00~17:00,9:00~13:00,14:00~17:00,9:00~13:00,14:00~17:00,9:00~13:00,14:00~17:00,9:00~13:00,14:00~17:00,,,,,常盤台2-25-20,35.76269,139.68954
医療法人社団裕健会神田クリニック,,101-0047,03-3252-0621,,,1,,,,千代田区,13101,内神田,2002/4/1,,,,,,,,,12:00~13:00,17:00~18:00,12:00~13:00,17:00~18:00,12:00~13:00,17:00~18:00,12:00~13:00,17:00~18:00,12:00~13:00,17:00~18:00,12:00~13:00,,,,,,内神田２-４-１,35.6906,139.76802
